CAG_length	Read_count
0	46436
1	30202
2	51339
3	95455
4	109191
5	57528
6	49908
7	22222
8	15837
9	2916
10	4619
11	889
12	1801
13	1065
14	1969
15	1778
16	2760
17	1294
18	1056
19	951
20	1144
21	1728
22	1470
23	1460
24	1276
25	1214
26	1276
27	1367
28	1377
29	1347
30	1717
31	2098
32	4776
33	15858
34	40681
35	58373
